feature,importance,stddev,p_value,n,p99_high,p99_low
insulin,0.0,0.0,0.5,5,0.0,0.0
tolazamide,0.0,0.0,0.5,5,0.0,0.0
miglitol,0.0,0.0,0.5,5,0.0,0.0
acarbose,0.0,0.0,0.5,5,0.0,0.0
rosiglitazone,0.0,0.0,0.5,5,0.0,0.0
pioglitazone,0.0,0.0,0.5,5,0.0,0.0
tolbutamide,0.0,0.0,0.5,5,0.0,0.0
glyburide,0.0,0.0,0.5,5,0.0,0.0
glipizide,0.0,0.0,0.5,5,0.0,0.0
acetohexamide,0.0,0.0,0.5,5,0.0,0.0
glimepiride,0.0,0.0,0.5,5,0.0,0.0
chlorpropamide,0.0,0.0,0.5,5,0.0,0.0
nateglinide,0.0,0.0,0.5,5,0.0,0.0
pca_cluster,0.0,0.0,0.5,5,0.0,0.0
discharge_disposition_id,-0.0022727272727272817,0.0031120599858248197,0.9110960958218894,5,0.004135047251326081,-0.008680501796780645
